Latitude,Longitude,text,person
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/BuftUou3Ja,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/F13xWRUuhW",Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/VYRsOzbYnu,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/sFRbXR30ep,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/ve1JzMHpJI,Biruk Yirga
 9.04359368,38.76973114,Just posted a photo @ Jan Meda https://t.co/RWC5Pry5uq,Biruk Yirga
 9.04359368,38.76973114,Just posted a photo @ Jan Meda https://t.co/6JRgKSSeaH,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/LQl687tEKb,Biruk Yirga
 9.04359368,38.76973114,Just posted a photo @ Jan Meda https://t.co/tWYU8RJWNK,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/P4fga557YZ,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/9Lo6spptwV,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/uDBEJ2ZIGT,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/7H2tYDd50j,Biruk Yirga
 9.01294569,38.75617465,Just posted a photo @ Addis Ababa Stadium https://t.co/JU48pv1dTG,Biruk Yirga
 9.00951601,38.81650129,Just posted a photo @ Gerji Mebrat Haile https://t.co/TK05o4P1dJ,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/5HaYnEPY8R,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/6UJ4Nn4K90,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/qpnZEUjhUN,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/aAmeBfI9DT,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/w1MqfetURI,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/xtzGrAo8a8,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/nqV2EWKFAo,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/T8xZO8HQV4,Biruk Yirga
 8.99678819,38.78618255,Just posted a photo @ Best Western Plus Addis Ababa https://t.co/T9OBWXQwFJ,Biruk Yirga
 9.02120617,38.80179644,Just posted a photo @ Megenagna Square https://t.co/uLs3sQl7Ed,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/MDh48rf2ds",Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/cGbLORXFem,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/PpEpwbZFt4,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/pysRRPDhig,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/dbQfg8x2hd,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/1sSUe0F8Xm,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/a3rOM5I06W,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/x9IoW3kpgB,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/wdOlqLaXzj",Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/QzKP4g5oTS,Biruk Yirga
 9.03201981,38.75024128,Just posted a photo @ Piassa -ፒያሳ https://t.co/Qy6DnfiZQd,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/st9H7zwJa4,Biruk Yirga
 9.00040733,38.78254244,Just posted a photo @ Addis Ababa Gerji https://t.co/DCoxbBPue8,Biruk Yirga
 8.9971051,38.8221356,Just posted a photo @ Yerer https://t.co/Qdu20KGnpL,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/t3WU8dXfdf",Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/QZcqFWmK3V",Biruk Yirga
 9.0027866,38.8159126,Just posted a photo @ Mexico https://t.co/3uiRdhUHFY,Biruk Yirga
 8.9971051,38.8221356,Just posted a photo @ Yerer https://t.co/FShQdRcg8l,Biruk Yirga
 9.03201981,38.75024128,Just posted a photo @ Piassa -ፒያሳ https://t.co/lXS24ltxA4,Biruk Yirga
 9.01028,38.7611,Just posted a photo @ Meskel Square https://t.co/1IFsJ4TUFE,Biruk Yirga
 9.02722222,38.73694444,Just posted a photo @ Addis Ababa https://t.co/GMM1POQGPZ,Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/wHp0EcGqa6",Biruk Yirga
 8.995,38.7653,"Just posted a photo @ Addis Ababa, Ethiopia https://t.co/p0CArMdn6G",Biruk Yirga
 9.0034,38.80346,Just posted a photo @ Ebs https://t.co/DE1hVMzoy6,Biruk Yirga
 9.00951601,38.81650129,Just posted a photo @ Gerji Mebrat Haile https://t.co/8v64eFG0lF,Biruk Yirga
 8.995,38.7653,"#cellphonephotography 
.......................................................
There's no room for mistakes, 
we're sailing a tight ship ashore
Get a broom sweep the place, 
and clear a space.… https://t.co/JtToVqG7cI",Biruk Yirga
 9.02722222,38.73694444,"#cellphonephotography 
Success is nothing but how high you bounce when you hit bottom. It's the only master key by far. 
.
.
.
#ceaselesspics #mynote8pics #mypic #myphonephotography #key #keychain #shadeandlight… https://t.co/KbBsMNkGF5",Biruk Yirga
 9.02722222,38.73694444,"#cellphonephotography 
I bet you all have this at home😁 barley leaf imprinted spoon and forks.
.
.
.
#ceaselesspics #mynote8pics #mypic #myphonephotography #fork #spoon #barleyleaf #closeupphotography… https://t.co/GGf7YHZvbY",Biruk Yirga
 9.00951601,38.81650129,"#cellphonephotography 
Three things can't be long hidden: the sun, the moon, and the truth. (Buddha) 
.
.
.
#ceaselesspics #mynote8pics #fullmoon #fullmoonshine #moonlight #condominium #beautifulnight #rareview… https://t.co/8bXisA7MMS",Biruk Yirga
 9.00951601,38.81650129,"#cellphonephotography 
People eat meat and think they will become strong as an ox, forgetting that the ox eats grass.🤣🤣🤣
Less meat more fruit and vegetable healthy life.
.
.
.
#ceaselesspics #mynote8pics… https://t.co/JlLpAbiWbf",Biruk Yirga
